oracle_id,card name,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27
0004ebd0-dfd6-4276-b4a6-de0003e94237,Static Orb,22.99,22.99,22.99,22.99,22.99,22.93,22.95,22.89
0006faf6-7a61-426c-9034-579f2cfcfa83,Sensory Deprivation,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05
0007c283-5b7a-4c00-9ca1-b455c8dff8c3,Road of Return,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.24
000d5588-5a4c-434e-988d-396632ade42c,Storm Crow,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
000e5d65-96c3-498b-bd01-72b1a1991850,Walking Sponge,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0012bc78-e69d-4a67-a302-e5fe0dfd4407,Ravnica at War,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.23
00181784-9213-492a-ba8c-2028969b049e,Torrent of Fire,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12
00185f3b-2777-4417-a8e0-4691f41c0ec1,Wyluli Wolf,0,0,0,0,0,0,0,0
00187de2-bc48-4137-97d8-a9a0fafc76c1,Pteramander,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
001c233f-2959-479b-a82a-64a25ac60830,Nantuko Elder,0.32,0.32,0.32,0.32,0.33,0.33,0.33,0.33
001c6369-df13-427d-89df-718d5c09f382,Vedalken Heretic,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
002100cd-1ab1-44da-93a0-1269d47a712a,Waterknot,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
00225c40-27ff-410f-a591-5c788c6a2bd6,Ruthless Knave,0.21,0.21,0.21,0.21,0.19,0.2,0.21,0.23
0023888e-7bec-43e0-8dee-d1a4eb94b372,Palinchron,0,0,0,0,0,0,0,0
00284955-0a1b-4939-9567-a7d34cbcee51,Hua Tuo Honored Physician,0.62,0.61,0.61,0.61,0.59,0.59,0.59,0.59
002965be-a36f-4a09-9ce0-c6535bca1703,Veil of Summer,10.9,10.74,10.91,10.91,10.63,10.57,10.55,10.45
002a9cea-8cf7-48ba-83eb-e1c87a7024e5,Disposal Mummy,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
002ad5fa-a20c-4d30-beef-401d89868d67,Wei Strike Force,0,0,0,0,0,0,0,0
002e767c-0b30-4ad1-a924-88da400a4cff,Marang River Prowler,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
00317e4f-0228-469a-9789-fb6c39976860,Aura Graft,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
00358a89-2058-448b-a2fd-389f639ba2da,Murk Dwellers,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07
0036d062-10dc-4267-98b4-1d2f6b190a61,Whispering Shade,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
00378902-90f3-465a-b917-23c0e81a7400,Wall of Fortune,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07
0038e74a-b950-47ff-8853-dba6a3b31091,Saheeli's Artistry,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
003bf21f-6815-4098-a186-aa15f5947541,Kalitas Bloodchief of Ghet,7.6,7.6,7.6,7.6,7.63,7.63,7.63,7.63
003c48d4-0303-4970-8637-47ae060385aa,Safewright Quest,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
0040db73-ac11-4c15-a1ac-5a2c4c085f09,Instill Infection,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
004584f8-fd89-4a3e-9782-c117dbe1532b,Weakstone,0,0,0,0,0,0,0,0
0045c5fa-3229-4050-b139-5712fa24b308,Demon,0,0,0,0,0,0,0,0
0045cf16-86dd-4417-ae36-88ca63b30c26,Strength of Night,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
004b2032-0d29-4361-b9c8-a3c0c7b63e2c,Spike Tournament Grinder,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27
004f82f0-74cc-4bc7-ab22-ab1a5247bc29,Keldon Raider,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0056e07b-416b-487e-9e6c-3697db402dd4,Leopard-Spotted Jiao,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
00573e77-8ff6-4acb-8683-8827d965288f,Behemoth Sledge,0.24,0.24,0.24,0.24,0.25,0.24,0.24,0.25
005ee549-1bf5-478f-bc3f-3e791bd7eecf,Kindred Discovery,27.54,27.43,27.43,27.43,27.36,27.36,27.36,27.36
00602959-e9a1-4706-a1cb-70156a6fc713,Stern Marshal,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.40
00605b83-faf6-4779-be9d-6a2c8f0ea722,Trapjaw Tyrant,5.53,5.54,5.49,5.49,5.3,5.31,5.47,5.49
00606d5e-a134-4363-9ee6-05e03d58f234,Strength of Unity,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.10
00625242-9348-4ef4-b975-f2ac82fee21d,Savai Triome,8.16,8.19,8.15,8.15,8.17,8.28,8.33,8.19
0068a341-92a5-470e-a565-9ace69eb04a8,Warden of the First Tree,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
006bbd8b-2007-419d-8b84-9ff73f2f95b7,Thunderherd Migration,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
007161cb-a44b-4443-a53a-dfaacc6cfb86,Carnage Wurm,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
0071723e-388d-4ae7-bc99-c143dd356c63,Goblin Barrage,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
00771a33-7443-43f9-a61e-1737b62b1f81,Pharika's Mender,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
0077740a-528b-4ee3-b331-fac321b95302,Mind Extraction,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
007c110d-4364-41e5-a8bc-6ac05ecbbd00,Thopter Assembly,0.4,0.4,0.41,0.41,0.4,0.4,0.4,0.40
007e1815-b2ae-4861-b8c4-b0da8896d718,Professor of Zoomancy // Professor of Zoomancy,0,0,0,0,0,0,0,0
008011e2-7b82-4962-af6e-be627112f37f,Theft of Dreams,0,0,0,0,0,0,0,0
008290c2-499d-425b-9a6c-c4aeb47c33ff,Dakmor Scorpion,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
00876e98-d062-4a12-85e6-86a2b20cf867,Brawn,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38
00895741-f94f-4d80-8ca4-c436bf3c8d56,Steadfast Cathar,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0089b07c-7f47-4a9a-9fb7-cc38ec9d7bcd,Harald King of Skemfar,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04
008ac258-763c-4379-bfcd-b9cc4d7296dd,Magma Sliver,18.98,18.98,18.97,18.97,18.97,18.97,18.97,18.97
008c92bc-3022-4d34-aa04-584576ff8f8e,Deem Worthy,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
008cb342-79f5-4df6-a6b7-0e9e22ed693f,Coalition Relic,1.33,1.28,1.32,1.32,1.52,1.64,1.47,1.48
008d5896-6fc9-4aaa-8c6f-a44c2feb98bb,Vizier of Deferment,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
008eda1f-b913-4f04-8c29-5e87c270149e,Tinybones Trinket Thief,21.24,19.12,18.17,18.17,17.58,17.88,18.58,18.60
008f2698-1721-45a3-8353-10f2f400dc8f,Shizo Death's Storehouse,29.77,30.81,30.81,30.81,31.99,33.26,33.26,33.26
00909d51-3da8-41eb-a535-0c325fedc59f,Summon the School,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
00915480-ffa8-4930-a158-b1c1f75b7876,Courageous Outrider,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
009240f3-b7f8-4cbe-a3e9-974da66fb62c,Soul-Scar Mage,8.6,8.07,7.25,7.25,6.51,6.6,6.77,6.86
009a399b-c78e-475b-8bc3-7db2afc9d676,Airdrop Aeronauts,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
009a8e38-74d0-4b4a-b8ca-62c9f3183531,Scaled Wurm,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
009fcd1e-5c5f-435b-afc1-099f1622e45c,Phyrexian Juggernaut,0,0,0,0,0,0,0,0
00a15abc-bdac-4977-90a0-f08d41941d01,Yorvo Lord of Garenbrig,0.22,0.22,0.21,0.21,0.21,0.22,0.25,0.27
00ab9841-934f-4a66-a98d-68d01661b1c9,Squadron Hawk,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18
00abb43b-550f-42d2-9049-61ac56ff5d8d,Boros Recruit,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14
00ad27a1-9162-408d-ac75-970e45d7e06c,Patchwork Gnomes,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
00af96af-5eae-4044-a2f7-a08cd0699d1e,Ogre Arsonist,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
00afc724-be09-4e92-a50c-88011bd10ccd,Hunt the Hunter,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.08
00b34fab-5a80-4a4d-b6cf-72479197677a,Timber Gorge,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
00b3971b-5bf7-4a3f-9607-6265f9af9098,Crypt Creeper,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
00bcbeb5-196a-4a54-ac8d-dec708e68d01,Devoted Paladin,0.2,0.2,0.2,0.2,0.13,0.11,0.1,0.09
00bcfbaf-cd31-4688-973e-4238749051b7,Unyielding Krumar,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
00c0543c-2a1f-4425-8283-4062d74a1637,Solemn Simulacrum,1.42,1.41,1.42,1.42,1.41,1.42,1.49,1.49
00cb93a8-5d33-4c6a-9e2a-4b3560f76f3f,Demonic Vigor,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.10
00d11662-9d10-4915-b80c-c1ad54b4e71b,Half-Elf Monk,0.38,0.34,0.34,0.34,0.24,0.2,0.18,0.17
00d3fcdf-6959-4437-9bad-93a8625510a1,Guul Draz Vampire,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24
00d8efa6-a2d9-4249-8da7-b45173675329,Utopia Sprawl,12.46,12.13,12.05,12.05,11.67,11.67,11.67,11.45
00de57d2-7cb6-4337-9bc6-f6711e4dfabf,Game Trail,2.01,2.03,2,2,2,2,2,2.00
00e0b103-892c-49b3-836d-867fff197bbd,Puppeteer Clique,4.54,4.49,4.51,4.51,4.51,4.51,4.51,4.51
00e35322-1a9a-41e3-9ce1-359c8eaa3bc7,Talisman of Progress,0,0,0,0,0,0,0,0
00e36265-0cd8-4084-adf5-d1ed44f0d689,Harvest Pyre,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09
